25 0.5817 0.3633 0.5737
50 0.6904 0.5428 0.6847
75 0.7516 0.5808 0.7460
100 0.7725 0.5351 0.7702
125 0.8131 0.5411 0.8087
150 0.8186 0.5888 0.8153
175 0.8128 0.6213 0.8106
200 0.8305 0.6732 0.8270
225 0.8430 0.6614 0.8391
250 0.8486 0.7235 0.8459
275 0.8653 0.6901 0.8618
300 0.8697 0.7040 0.8671
25 0.6272 0.4192 0.6282
50 0.6783 0.4610 0.6717
75 0.7249 0.5371 0.7236
100 0.7826 0.5821 0.7804
125 0.7768 0.5813 0.7727
150 0.8180 0.6943 0.8148
175 0.8236 0.6199 0.8198
200 0.8399 0.6900 0.8372
225 0.8529 0.6823 0.8511
250 0.8524 0.6339 0.8491
275 0.8564 0.6814 0.8530
300 0.8616 0.7017 0.8584
25 0.6057 0.4286 0.6006
50 0.6839 0.4415 0.6824
75 0.6924 0.5248 0.6865
100 0.7570 0.5802 0.7524
125 0.7852 0.5993 0.7785
150 0.8145 0.5919 0.8085
175 0.8272 0.6117 0.8226
200 0.8307 0.6229 0.8275
225 0.8404 0.7000 0.8382
250 0.8552 0.7241 0.8522
275 0.8644 0.6916 0.8612
300 0.8650 0.6682 0.8618
25 0.5960 0.3898 0.5919
50 0.6768 0.4620 0.6761
75 0.7321 0.5153 0.7263
100 0.7488 0.5063 0.7425
150 0.8300 0.6182 0.8262
