25 0.5881 0.3985 0.5852
50 0.6852 0.4853 0.6825
75 0.7385 0.5246 0.7356
100 0.7756 0.5594 0.7709
125 0.7898 0.5428 0.7846
150 0.8215 0.6153 0.8169
175 0.8329 0.6145 0.8285
200 0.8399 0.6111 0.8370
225 0.8498 0.6265 0.8463
250 0.8560 0.6399 0.8538
275 0.8635 0.6540 0.8599
300 0.8731 0.6765 0.8708
25 0.6140 0.3970 0.6094
50 0.6875 0.4736 0.6816
75 0.7428 0.5264 0.7424
100 0.7715 0.5368 0.7667
125 0.7934 0.5589 0.7905
150 0.8194 0.6230 0.8154
175 0.8266 0.6159 0.8240
200 0.8387 0.6197 0.8345
225 0.8493 0.6097 0.8460
250 0.8574 0.6500 0.8549
275 0.8651 0.6566 0.8634
300 0.8745 0.6812 0.8716
25 0.5927 0.3979 0.5896
50 0.6813 0.4543 0.6762
75 0.7385 0.5205 0.7336
100 0.7724 0.5455 0.7685
125 0.7881 0.5353 0.7842
150 0.8196 0.6022 0.8174
175 0.8347 0.6155 0.8297
200 0.8399 0.6337 0.8370
225 0.8508 0.6406 0.8477
250 0.8555 0.6412 0.8532
275 0.8650 0.6545 0.8627
300 0.8730 0.6685 0.8707
25 0.5942 0.4060 0.5875
50 0.7006 0.4780 0.6951
75 0.7422 0.5230 0.7393
