25 0.5942 0.3904 0.5933
50 0.6829 0.4620 0.6748
75 0.7358 0.5407 0.7314
100 0.7748 0.5560 0.7712
125 0.7914 0.5442 0.7877
150 0.8177 0.6180 0.8143
175 0.8299 0.6173 0.8261
200 0.8399 0.6329 0.8361
225 0.8530 0.6345 0.8488
250 0.8567 0.6547 0.8540
275 0.8647 0.6533 0.8617
300 0.8722 0.6734 0.8694
25 0.6033 0.4132 0.5956
50 0.6944 0.4980 0.6941
75 0.7401 0.5249 0.7349
100 0.7732 0.5435 0.7659
125 0.7990 0.5562 0.7958
150 0.8196 0.6087 0.8180
175 0.8280 0.6112 0.8240
200 0.8366 0.6222 0.8335
225 0.8513 0.6315 0.8482
250 0.8549 0.6468 0.8514
275 0.8636 0.6643 0.8602
300 0.8716 0.6671 0.8689
25 0.6125 0.4089 0.6099
50 0.6937 0.4771 0.6900
75 0.7337 0.5214 0.7284
100 0.7691 0.5382 0.7644
125 0.7921 0.5543 0.7866
150 0.8204 0.6288 0.8156
175 0.8294 0.6234 0.8254
200 0.8414 0.6361 0.8378
225 0.8506 0.6409 0.8477
250 0.8567 0.6319 0.8534
275 0.8653 0.6595 0.8624
300 0.8748 0.6734 0.8721
25 0.5973 0.4028 0.5958
50 0.6898 0.4767 0.6852
75 0.7385 0.5239 0.7330
100 0.7781 0.5415 0.7751
